;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no
0;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;1;873;31;[839,6,892,63];2454.7;0.411367;1822.68;2
1;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;2;1172;30;[1133,14,1195,54];2453.56;0.483274;1512.87;3
2;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;3;600;78;[580,56,623,132];2831.4;0.700334;2103.75;4
3;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;4;651;113;[607,71,695,172];3369.73;0.617723;6044.01;5
4;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;5;1500;201;[1407,140,1563,265];2756.79;0.577384;12407.4;7
5;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;6;62;290;[14,257,110,330];2434.79;0.50974;4322.47;8
6;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;7;801;304;[747,272,831,346];3117.25;0.516041;3922.17;9
7;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;8;1453;331;[1403,292,1498,398];2869.66;0.576666;6203.71;10
8;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;9;1884;355;[1820,295,1932,405];2682.87;0.535037;7638.85;11
9;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;10;1352;370;[1325,339,1404,404];2715.28;0.49117;3462.24;12
10;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;11;173;371;[152,352,195,403];2595.67;0.787047;1401.08;13
11;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;12;209;441;[145,386,303,547];2779.4;0.416527;9311.42;14
12;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;13;777;445;[748,410,799,472];2906.91;0.426043;1947.24;15
13;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;14;1518;455;[1474,417,1558,500];3034.83;0.704609;5098.6;16
14;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;15;644;457;[582,426,710,500];2978.19;0.376873;5634.12;17
15;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;16;322;488;[288,469,353,510];2566.2;0.590398;1722.6;18
16;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;17;639;504;[622,481,658,526];2875.47;0.649707;1137.04;19
17;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;18;1259;528;[1224,492,1293,576];2750.64;0.608505;4335.25;20
18;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;19;1815;541;[1794,516,1838,568];2651.64;0.34795;1442.6;21
19;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;20;854;616;[794,553,930,669];3549.86;0.643537;10117.4;22
20;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;21;690;618;[629,560,718,651];2802.07;0.536767;4980.43;23
21;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;22;66;613;[11,563,115,659];2223.59;0.534228;6774.36;24
22;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;23;1155;608;[1125,564,1185,651];2812.77;0.565423;3653.87;25
23;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;24;144;596;[124,577,164,622];2339.42;0.658032;1206.25;26
24;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;25;735;632;[707,590,772,670];2739.23;0.513842;2897.97;27
25;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;26;1433;635;[1399,604,1498,669];2844.21;0.533472;4042.47;28
26;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;27;1034;699;[957,646,1085,751];2843.81;0.633728;10029.0;29
27;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I21;9;21;1;1;28;1966;722;[1931,693,2008,763];2359.78;0.525469;3415.39;30
